Ee (keV), d\omega/dEe
76.8,5.31694056734681e-32
76.9,5.31627937653133e-32
77,5.31561824137108e-32
77.1,5.31495716196191e-32
77.2,5.31429613839983e-32
77.3,5.31363517078092e-32
77.4,5.31297425920139e-32
77.5,5.31231340375758e-32
77.6,5.31165260454591e-32
77.7,5.31099186166293e-32
77.8,5.31033117520531e-32
77.9,5.30967054526981e-32
78,5.30900997195332e-32
78.1,5.30834945535285e-32
78.2,5.3076889955655e-32
78.3,5.30702859268849e-32
78.4,5.30636824681918e-32
78.5,5.305707958055e-32
78.6,5.30504772649353e-32
78.7,5.30438755223245e-32
78.8,5.30372743536954e-32
78.9,5.30306737600272e-32
79,5.30240737423002e-32
79.1,5.30174743014956e-32
79.2,5.30108754385959e-32
79.3,5.3004277154585e-32
79.4,5.29976794504474e-32
79.5,5.29910823271693e-32
79.6,5.29844857857377e-32
79.7,5.29778898271409e-32
79.8,5.29712944523682e-32
79.9,5.29646996624103e-32
80,5.29581054582589e-32
80.1,5.29515118409069e-32
80.2,5.29449188113482e-32
80.3,5.29383263705782e-32
80.4,5.29317345195932e-32
80.5,5.29251432593906e-32
80.6,5.29185525909693e-32
80.7,5.2911962515329e-32
80.8,5.29053730334708e-32
80.9,5.28987841463969e-32
81,5.28921958551107e-32
81.1,5.28856081606167e-32
81.2,5.28790210639205e-32
81.3,5.28724345660292e-32
81.4,5.28658486679508e-32
81.5,5.28592633706944e-32
81.6,5.28526786752706e-32
81.7,5.28460945826909e-32
81.8,5.28395110939681e-32
81.9,5.28329282101163e-32
82,5.28263459321504e-32
82.1,5.2819764261087e-32
82.2,5.28131831979434e-32
82.3,5.28066027437385e-32
82.4,5.28000228994921e-32
82.5,5.27934436662253e-32
82.6,5.27868650449605e-32
82.7,5.27802870367211e-32
82.8,5.27737096425318e-32
82.9,5.27671328634184e-32
83,5.27605567004082e-32
83.1,5.27539811545293e-32
83.2,5.27474062268112e-32
83.3,5.27408319182846e-32
83.4,5.27342582299815e-32
83.5,5.27276851629349e-32
83.6,5.27211127181791e-32
83.7,5.27145408967497e-32
83.8,5.27079696996833e-32
83.9,5.2701399128018e-32
84,5.26948291827929e-32
84.1,5.26882598650483e-32
84.2,5.26816911758259e-32
84.3,5.26751231161685e-32
84.4,5.266855568712e-32
84.5,5.26619888897258e-32
